R,HF,FCI,CISD,DM_6-31g
1.0,-7.871355587185971,-7.891373745800185,-7.891350797263286,4.900037718030251
1.02020202020202,-7.881177209124509,-7.900943966132806,-7.900922521968605,4.925713080092379
1.0404040404040404,-7.890262691344181,-7.909798352342299,-7.909778217547602,4.9526277077919785
1.0606060606060606,-7.898661719726108,-7.9179863295062125,-7.917967329232272,4.980647701248686
1.0808080808080809,-7.906420591184781,-7.925553788250125,-7.925535766344694,5.009655945538231
1.101010101010101,-7.913582424637354,-7.932543331017743,-7.932526148558682,5.039550679342764
1.121212121212121,-7.920187362612117,-7.938994503924878,-7.938978037763255,5.070244043051489
1.1414141414141414,-7.92627276355869,-7.944944014541913,-7.944928155872842,5.101660644764712
1.1616161616161615,-7.931873384923903,-7.950425936058095,-7.950410589019522,5.133736173507542
1.1818181818181819,-7.937021557082056,-7.9554718983713775,-7.955456978785291,5.166416081564349
1.202020202020202,-7.941747348237579,-7.960111266701977,-7.960096700775834,5.199654351617015
1.2222222222222223,-7.946078720447833,-7.964371308351966,-7.964357031545389,5.233412359002791
1.2424242424242424,-7.950041676940339,-7.968277348234546,-7.968263304198813,5.267657834695968
1.2626262626262625,-7.953660400918014,-7.971852913776503,-7.971839053386191,5.302363930693516
1.2828282828282829,-7.956957386066421,-7.975119869773344,-7.975106150249633,5.337508386159678
1.303030303030303,-7.959953558993752,-7.978098543746568,-7.9780849278686325,5.373072790151916
1.3232323232323233,-7.962668393850996,-7.980807842325077,-7.980794297723066,5.409041934902789
1.3434343434343434,-7.965120019395345,-7.983265359147158,-7.9832518576725935,5.4454032524207685
1.3636363636363638,-7.967325318778339,-7.985487474760968,-7.985473991926166,5.482146326596089
1.3838383838383839,-7.969300022353901,-7.987489448984503,-7.987475963465863,5.519262472826253
1.404040404040404,-7.971058793818135,-7.989285506173771,-7.989271999371403,5.556744377447682
1.4242424242424243,-7.97261531000477,-7.990888913837345,-7.990875369486755,5.59458578972161
1.4444444444444444,-7.973982334670478,-7.992312055025745,-7.992298458853896,5.632781259787023
1.4646464646464648,-7.975171786612495,-7.9935664949147265,-7.993552834337102,5.671325916705981
1.4848484848484849,-7.976194802463532,-7.994663041990282,-7.9946493058436,5.710215281453014
1.5050505050505052,-7.977061794510181,-7.9956118042313165,-7.99559798253844,5.7494451103857305
1.5252525252525253,-7.977782503876714,-7.996422240671283,-7.996408324434269,5.789011265355575
1.5454545454545454,-7.97836604940967,-7.9971032087057665,-7.997089189749964,5.828909607140148
1.5656565656565657,-7.9788209725885935,-7.997663007492642,-7.997648878228852,5.869135909339472
1.5858585858585859,-7.979155278775098,-7.998109417775202,-7.998095171136785,5.909685790241578
1.606060606060606,-7.9793764750985146,-7.998449738436778,-7.998435367731802,5.950554660447049
1.6262626262626263,-7.979491605259274,-7.998690820075487,-7.998676318879709,5.991737684306616
1.6464646464646466,-7.979507281514579,-7.998839095866471,-7.998824457930193,6.033229753421215
1.6666666666666667,-7.979429714091474,-7.9989006099575555,-7.998885829124651,6.075025470548532
1.6868686868686869,-7.979264738256127,-7.998881043624781,-7.998866113762612,6.11711914249576
1.7070707070707072,-7.979017839248381,-7.998785739393598,-7.998770654332422,6.159504780615864
1.7272727272727273,-7.978694175274326,-7.9986197233130465,-7.9986044767939575,6.202176107671673
1.7474747474747474,-7.978298598731992,-7.998387725552422,-7.9983723111825284,6.245126569918047
1.7676767676767677,-7.977835675830052,-7.998094199473142,-7.998078610687404,6.288349353365552
1.787878787878788,-7.977309704744057,-7.997743339313834,-7.997727569342405,6.331837403270223
1.8080808080808082,-7.976724732440934,-7.997339096611535,-7.997323138452065,6.375583446006547
1.8282828282828283,-7.976084570289933,-7.996885195470401,-7.996869041864512,6.41958001255686
1.8484848484848486,-7.975392808566357,-7.996385146776679,-7.996368790190024,6.4638194629572885
1.8686868686868687,-7.9746528299439765,-7.995842261448979,-7.995825694054438,6.508294011118832
1.8888888888888888,-7.9738678220620915,-7.995259662803372,-7.995242876466629,6.552995749530136
1.9090909090909092,-7.973040789245013,-7.994640298104673,-7.9946232843715865,6.597916673426907
1.9292929292929295,-7.972174563443852,-7.993986949365576,-7.993969699453016,6.643048704095885
1.9494949494949496,-7.971271814463084,-7.993302243457111,-7.993284748242564,6.688383711030912
1.9696969696969697,-7.970335059528711,-7.99258866157337,-7.9925709115872845,6.733913532740478
1.98989898989899,-7.969366672249018,-7.991848548103254,-7.9918305335217505,6.77962999605321
2.0101010101010104,-7.968368891013978,-7.991084118948547,-7.991065829586867,6.8255249338147435
2.0303030303030303,-7.967343826874772,-7.990297469326676,-7.990278894632834,6.871590200922125
2.0505050505050506,-7.966293470941428,-7.989490581092172,-7.989471710140949,6.917817688672786
2.070707070707071,-7.965219701332419,-7.988665329608361,-7.988646151095507,6.964199337436337
2.090909090909091,-7.964124289707015,-7.987823490197118,-7.987803992433266,7.010727147685374
2.111111111111111,-7.9630089074092725,-7.986966744193258,-7.9869469150980485,7.057393189452595
2.1313131313131315,-7.961875131248496,-7.986096684626633,-7.9860765117226595,7.10418961028206
2.1515151515151514,-7.960724448940132,-7.9852148215542815,-7.9851942919607595,7.151108641765892
2.1717171717171717,-7.9595582642283995,-7.984322587062265,-7.984301687488672,7.198142604774175
2.191919191919192,-7.958377901710127,-7.983421339955959,-7.983400056695673,7.245283913475364
2.212121212121212,-7.9571846113781275,-7.982512370155891,-7.98249068907917,7.29252507826349
2.2323232323232327,-7.955979572900583,-7.9815969028148395,-7.981574809362618,7.339858707702878
2.2525252525252526,-7.954763899651767,-7.980676102171368,-7.980653581348135,7.387277509603462
2.272727272727273,-7.953538642508529,-7.9797510751532,-7.9797281115207985,7.434774291335671
2.2929292929292933,-7.952304793425824,-7.978822874743777,-7.97879945241476,7.482341959491743
2.313131313131313,-7.9510632888032235,-7.977892503123603,-7.977868605755346,7.529973518992943
2.3333333333333335,-7.949815012654724,-7.976960914598499,-7.976936525387543,7.577662071738809
2.353535353535354,-7.94856079959199,-7.976029018324759,-7.976004120001747,7.625400814889732
2.3737373737373737,-7.947301437631668,-7.975097680841851,-7.975072255667407,7.673183038858304
2.393939393939394,-7.946037670836395,-7.974167728422092,-7.974141758183378,7.7210021250893055
2.4141414141414144,-7.944770201798486,-7.973239949246478,-7.97321341525492,7.7688515436889105
2.4343434343434343,-7.943499693975191,-7.97231509541564,-7.97228797850583,7.816724850964105
2.4545454545454546,-7.942226773883634,-7.971393884802371,-7.971366165333371,7.8646156869201045
2.474747474747475,-7.940952033163436,-7.970477002757953,-7.970448660614809,7.91251777275542
2.494949494949495,-7.939676030514383,-7.9695651036741415,-7.969536118272387,7.960424908387671
2.5151515151515156,-7.938399293516426,-7.968658812412315,-7.9686291627043495,8.008330970028041
2.5353535353535355,-7.93712232033904,-7.967758725604955,-7.967728390109441,8.05622990781739
2.5555555555555554,-7.935845581346212,-7.966865412836559,-7.966834369590923,8.104115743511578
2.575757575757576,-7.934569520603403,-7.965979417710236,-7.965947644341365,8.151982568182042
2.595959595959596,-7.933294557292729,-7.9651012588063566,-7.965068732529946,8.19982453987466
2.6161616161616164,-7.932021087041864,-7.964231430539595,-7.964198128180864,8.247635881103808
2.6363636363636367,-7.930749483172005,-7.963370403919755,-7.963336301937628,8.295410876009642
2.6565656565656566,-7.929480097870629,-7.962518627222915,-7.962483701738065,8.343143866912891
2.676767676767677,-7.928213263293334,-7.961676526578107,-7.9616407534048,8.39082924996153
2.6969696969696972,-7.926949292599857,-7.960844506475612,-7.960807861157623,8.438461469641123
2.717171717171717,-7.925688480928681,-7.960022950202401,-7.959985408053206,8.48603501233517
2.7373737373737375,-7.924431106314262,-7.959212220210685,-7.959173756357835,8.533544400237941
2.757575757575758,-7.923177430550963,-7.95841265842507,-7.95837324785892,8.580984188725969
2.7777777777777777,-7.921927700007369,-7.957624586494439,-7.957584204121299,8.628348971932112
2.7979797979797985,-7.920682146394471,-7.956848305994466,-7.956806926693919,8.675633399860823
2.8181818181818183,-7.919440987490955,-7.95608409858659,-7.956041697273139,8.72283220315221
2.8383838383838382,-7.918204427828588,-7.955332226140081,-7.955288777828731,8.769940211700986
2.858585858585859,-7.916972659340768,-7.954592930822962,-7.954548410670349,8.816950986164878
2.878787878787879,-7.915745861975991,-7.953866435168799,-7.953820818628631,8.863863456987152
2.8989898989898992,-7.914524204280596,-7.953152942125305,-7.953106204944072,8.910670139483882
2.9191919191919196,-7.913307843950361,-7.952452635091647,-7.952404753414611,8.957366026315755
2.9393939393939394,-7.9120969283552105,-7.9517656779511325,-7.95171662840012,9.00394614784991
2.95959595959596,-7.910891595037729,-7.951092215105568,-7.951041974867146,9.050405570247774
2.97979797979798,-7.909691972187653,-7.950432371518182,-7.950380918424247,9.09673939372483
3.0,-7.908498179093829,-7.949786252771133,-7.949733565384344,9.142942750867594
